Action,Match,Tommur_Code,APBS_Code,Gator_Code,NJPD_Desc,Description,Size,Material,Color,Unit,Order_Qty,CBM,FOB_USD,Duty_per_unit,Freight_dray_per_unit,Landed_APBS_USD,Landed_FOB_plus_freight_only,DDP_USD,CURRENT_DDP_USD,Tommur_cost_used,Better_buy,Landed_vs_DDP_USD,Sell_USD,Sell_Source,NJPD_Stick_USD,Margin_on_DDP_pct,Margin_on_Landed_pct,Line_cost_DDP,Line_cost_Landed,Line_revenue,Line_profit_DDP,Line_profit_Landed,Notes
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D103,PVC-PTRAP,,,P-TRAP (H x H),"4""",PVC,,pc,8,0.1114,4.9085,2.1008,0.6788,7.6881,5.5873,5.18,7.86,5.18,DDP cheaper,2.5081,26.75,All Pro website,,80.6,71.3,41.44,61.5,214.0,172.56,152.5,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,A 062,PVC-PTRAPLOW,,,"P-TRAP, LOW PROFILE(HxH)","1-1/2""",PVC,,pc,375,0.4082,0.3749,0.1605,0.0531,0.5885,0.428,0.41,0.62,0.41,DDP cheaper,0.1785,1.22,All Pro website,,66.4,51.8,153.75,220.69,457.5,303.75,236.81,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,A 062,PVC-PTRAPLOW,,,"P-TRAP, LOW PROFILE(HxH)","2""",PVC,,pc,435,1.0852,0.9689,0.4147,0.1216,1.5052,1.0905,1.02,1.55,1.02,DDP cheaper,0.4852,5.25,All Pro website,,80.6,71.3,443.7,654.76,2283.75,1840.05,1628.99,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,A 062,PVC-PTRAPLOW,,,"P-TRAP, LOW PROFILE(HxH)","3""",PVC,,pc,240,1.8628,2.8215,1.2076,0.3783,4.4074,3.1998,2.98,4.52,2.98,DDP cheaper,1.4274,16.25,All Pro website,,81.7,72.9,715.2,1057.78,3900.0,3184.8,2842.22,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,A 062,PVC-PTRAPLOW,,,"P-TRAP, LOW PROFILE(HxH)","4""",PVC,,pc,48,0.6681,4.9934,2.1372,0.6785,7.8091,5.6719,5.28,7.99,5.28,DDP cheaper,2.5291,38.0,All Pro website,,86.1,79.4,253.44,374.84,1824.0,1570.56,1449.16,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D065,PVC-SANTEE,,,SANITARY TEE (ALL HUB),"1-1/2""",PVC,,pc,720,0.551,0.3459,0.148,0.0373,0.5312,0.3832,0.36,0.59,0.36,DDP cheaper,0.1712,0.91,All Pro website,,60.4,41.6,259.2,382.46,655.2,396.0,272.74,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D065,PVC-SANTEE,,,SANITARY TEE (ALL HUB),"2""",PVC,,pc,595,0.9465,0.4845,0.2074,0.0775,0.7694,0.562,0.52,0.78,0.52,DDP cheaper,0.2494,1.32,All Pro website,,60.6,41.7,309.4,457.79,785.4,476.0,327.61,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D065,PVC-SANTEE,,,SANITARY TEE (ALL HUB),"3""",PVC,,pc,60,0.2227,1.5034,0.6435,0.1809,2.3278,1.6843,1.7,2.41,1.7,DDP cheaper,0.6278,6.99,All Pro website,,75.7,66.7,102.0,139.67,419.4,317.4,279.73,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D065,PVC-SANTEE,,,SANITARY TEE (ALL HUB),"4""",PVC,,pc,50,0.4592,2.8505,1.22,0.4477,4.5182,3.2982,3.16,4.56,3.16,DDP cheaper,1.3582,14.75,All Pro website,,78.6,69.4,158.0,225.91,737.5,579.5,511.59,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D073,PVC-SANTEEDBL,,,"DOUBLE SANITARY TEE, REDUCING (ALL HUB)","2x2x1-1/2x1-1/2""",PVC,,pc,150,0.2245,0.5526,0.2365,0.073,0.8621,0.6256,0.58,0.88,0.58,DDP cheaper,0.2821,4.25,All Pro website,,86.4,79.7,87.0,129.31,637.5,550.5,508.19,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D066,PVC-SANTEERED,,,REDUCING SANITARY TEE (ALL HUB),"2x1-1/2""",PVC,,pc,250,0.2382,0.419,0.1793,0.0464,0.6447,0.4654,,0.67,0.67,FOB+landed cheaper,-0.0253,1.68,All Pro website,,60.1,61.6,167.5,161.18,420.0,252.5,258.82,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D066,PVC-SANTEERED,,,REDUCING SANITARY TEE (ALL HUB),"2x1-1/2x1-1/2""",PVC,,pc,840,1.0866,0.4289,0.1836,0.0631,0.6756,0.492,0.45,0.68,0.45,DDP cheaper,0.2256,1.15,All Pro website,,60.9,41.3,378.0,567.5,966.0,588.0,398.5,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D066,PVC-SANTEERED,,,REDUCING SANITARY TEE (ALL HUB),"2x1-1/2x2""",PVC,,pc,840,1.0866,0.4461,0.1909,0.0631,0.7001,0.5092,0.47,0.71,0.47,DDP cheaper,0.2301,1.53,All Pro website,,69.3,54.2,394.8,588.08,1285.2,890.4,697.12,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D066,PVC-SANTEERED,,,REDUCING SANITARY TEE (ALL HUB),"2x2x1-1/2""",PVC,,pc,850,0.9465,0.5,0.214,0.0543,0.7683,0.5543,0.52,0.8,0.52,DDP cheaper,0.2483,1.16,All Pro website,,55.2,33.8,442.0,653.05,986.0,544.0,332.94,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D066,PVC-SANTEERED,,,REDUCING SANITARY TEE (ALL HUB),"3x2""",PVC,,pc,240,0.6061,1.05,0.4494,0.1231,1.6225,1.1731,,1.68,1.68,FOB+landed cheaper,-0.0575,4.2,All Pro website,,60.0,61.4,403.2,389.4,1008.0,604.8,618.6,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D066,PVC-SANTEERED,,,REDUCING SANITARY TEE (ALL HUB),"3x3x2""",PVC,,pc,270,0.6736,1.0264,0.4393,0.1216,1.5873,1.148,1.1,1.66,1.1,DDP cheaper,0.4873,5.75,All Pro website,,80.9,72.4,297.0,428.57,1552.5,1255.5,1123.93,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D066,PVC-SANTEERED,,,REDUCING SANITARY TEE (ALL HUB),"4x4x2""",PVC,,pc,120,0.4491,1.3979,0.5983,0.1824,2.1786,1.5803,1.47,2.24,1.47,DDP cheaper,0.7086,5.59,All Pro website,,73.7,61.0,176.4,261.43,670.8,494.4,409.37,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D066,PVC-SANTEERED,,,REDUCING SANITARY TEE (ALL HUB),"4x4x3""",PVC,,pc,30,0.167,2.2529,0.9642,0.2713,3.4884,2.5242,2.38,3.59,2.38,DDP cheaper,1.1084,9.65,All Pro website,,75.3,63.9,71.4,104.65,289.5,218.1,184.85,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D097,PVC-WYEDBL,,,REDUCING DOUBLE WYE (ALL HUB),"3x3x2x2""",PVC,,pc,105,0.5433,0.9168,0.3924,0.2522,1.5614,1.169,1.67,2.36,1.67,FOB+landed cheaper,-0.1086,6.55,All Pro website,,74.5,76.2,175.35,163.95,687.75,512.4,523.8,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D090,PVC-WYEHUB,,,WYE (ALL HUB),"1-1/2""",PVC,,pc,200,0.1837,0.4301,0.1841,0.0448,0.659,0.4749,0.45,0.69,0.45,DDP cheaper,0.209,1.72,All Pro website,,73.8,61.7,90.0,131.8,344.0,254.0,212.2,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D090,PVC-WYEHUB,,,WYE (ALL HUB),"2""",PVC,,pc,400,0.5988,0.5963,0.2552,0.073,0.9245,0.6693,0.63,0.95,0.63,DDP cheaper,0.2945,3.6,All Pro website,,82.5,74.3,252.0,369.8,1440.0,1188.0,1070.2,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D090,PVC-WYEHUB,,,WYE (ALL HUB),"3""",PVC,,pc,390,2.018,1.7967,0.769,0.2522,2.8179,2.0489,2.07,2.88,2.07,DDP cheaper,0.7479,7.19,All Pro website,,71.2,60.8,807.3,1098.98,2804.1,1996.8,1705.12,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D090,PVC-WYEHUB,,,WYE (ALL HUB),"4""",PVC,,pc,64,0.6209,3.2748,1.4016,0.4729,5.1493,3.7477,3.77,5.24,3.77,DDP cheaper,1.3793,13.1,All Pro website,,71.2,60.7,241.28,329.56,838.4,597.12,508.84,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D090,PVC-WYEHUB,,,WYE (ALL HUB),"6""",PVC,,pc,60,2.3285,7.3662,3.1527,1.8917,12.4106,9.2579,7.96,12.11,7.96,DDP cheaper,4.4506,30.26,All Pro website,,73.7,59.0,477.6,744.64,1815.6,1338.0,1070.96,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D092,PVC-WYERED,,,REDUCING WYE (ALL HUB),"3x3x2""",PVC,,pc,336,1.0478,1.3904,0.5951,0.152,2.1375,1.5424,1.49,2.27,1.49,DDP cheaper,0.6475,7.05,All Pro website,,78.9,69.7,500.64,718.2,2368.8,1868.16,1650.6,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D092,PVC-WYERED,,,REDUCING WYE (ALL HUB),"4x4x2""",PVC,,pc,30,0.167,1.9964,0.8545,0.2713,3.1222,2.2677,2.18,3.2,2.18,DDP cheaper,0.9422,5.3,All Pro website,,58.9,41.1,65.4,93.67,159.0,93.6,65.33,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D092,PVC-WYERED,,,REDUCING WYE (ALL HUB),"4x4x3""",PVC,,pc,60,0.4657,2.5005,1.0702,0.3783,3.949,2.8788,2.58,4.15,2.58,DDP cheaper,1.369,6.71,All Pro website,,61.5,41.1,154.8,236.94,402.6,247.8,165.66,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D092,PVC-WYERED,,,REDUCING WYE (ALL HUB),"6x6x2""",PVC,,pc,40,0.6209,4.5354,1.9412,0.7566,7.2332,5.292,4.8,7.29,4.8,DDP cheaper,2.4332,18.22,All Pro website,,73.7,60.3,192.0,289.33,728.8,536.8,439.47,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D092,PVC-WYERED,,,REDUCING WYE (ALL HUB),"6x6x3""",PVC,,pc,39,0.7238,4.8091,2.0583,0.9046,7.772,5.7137,5.09,7.7,5.09,DDP cheaper,2.682,19.24,All Pro website,,73.5,59.6,198.51,303.11,750.36,551.85,447.25,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D092,PVC-WYERED,,,REDUCING WYE (ALL HUB),"6x6x4""",PVC,,pc,40,0.8618,5.3477,2.2888,1.0502,8.6867,6.3979,5.65,8.56,5.65,DDP cheaper,3.0367,21.39,All Pro website,,73.6,59.4,226.0,347.47,855.6,629.6,508.13,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D092,PVC-WYERED,,,REDUCING WYE (ALL HUB),"8x8x4""",PVC,,pc,40,1.5842,8.9605,3.8351,1.9305,14.7261,10.891,9.47,14.4,9.47,DDP cheaper,5.2561,35.97,All Pro website,,73.7,59.1,378.8,589.04,1438.8,1060.0,849.76,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D092,PVC-WYERED,,,REDUCING WYE (ALL HUB),"8x8x6""",PVC,,pc,40,2.2089,11.6915,5.004,2.6918,19.3873,14.3833,12.35,18.72,12.35,DDP cheaper,7.0373,46.77,All Pro website,,73.6,58.5,494.0,775.49,1870.8,1376.8,1095.31,
ADD / SOURCE ELSEWHERE — copper F1807 crimp rings (Tommur PEX list has none),MISSING from Tommur list,,EPCR0012,EPCR0012,"1/2"" COPPER PEX CRIMP RING","1/2"" COPPER PEX CRIMP RING","1/2""",COPPER,,pc,10000,,,,,,,,,,Need Tommur price,,0.1529,NJPD/Gator quote 11237145,,,,,,1529.0,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
ADD / SOURCE ELSEWHERE — copper F1807 crimp rings (Tommur PEX list has none),MISSING from Tommur list,,EPCR0034,EPCR0034,"3/4"" COPPER PEX CRIMP RING","3/4"" COPPER PEX CRIMP RING","3/4""",COPPER,,pc,6000,,,,,,,,,,Need Tommur price,,0.2118,NJPD/Gator quote 11237145,,,,,,1270.8,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
ADD / SOURCE ELSEWHERE — copper F1807 crimp rings (Tommur PEX list has none),MISSING from Tommur list,,EPCR0100,EPCR0100,"1"" COPPER PEX CRIMP RING","1"" COPPER PEX CRIMP RING","1""",COPPER,,pc,3500,,,,,,,,,,Need Tommur price,,0.3765,NJPD/Gator quote 11237145,,,,,,1317.75,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
"ADD — NJPD buys 1"" elbow; not on current Tommur order list",MISSING from Tommur list,,PEX-ELBOW,PPLN0100,"1"" POLY-ALLOY PEX ELBOW","1"" POLY-ALLOY PEX ELBOW","1""",PEX,,pc,900,,,,,,,,,,Need Tommur price,,1.4607,NJPD/Gator quote 11237145,,,,,,1314.63,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
ASK TOMMUR — NJPD buys this; not on Tommur quote,MISSING from Tommur list,,PPPL0012,PPPL0012,"1/2"" POLY-ALLOY PEX PLUG","1/2"" POLY-ALLOY PEX PLUG","1/2""",PEX,,pc,2000,,,,,,,,,,Need Tommur price,,0.2078,NJPD/Gator quote 11237145,,,,,,415.6,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
ASK TOMMUR — NJPD buys this; not on Tommur quote,MISSING from Tommur list,,PPPL0034,PPPL0034,"3/4"" POLY-ALLOY PEX PLUG","3/4"" POLY-ALLOY PEX PLUG","3/4""",PEX,,pc,1000,,,,,,,,,,Need Tommur price,,0.3629,NJPD/Gator quote 11237145,,,,,,362.9,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
ASK TOMMUR — NJPD buys this; not on Tommur quote,MISSING from Tommur list,,PPPL0100,PPPL0100,"1"" POLY-ALLOY PEX PLUG","1"" POLY-ALLOY PEX PLUG","1""",PEX,,pc,500,,,,,,,,,,Need Tommur price,,0.5903,NJPD/Gator quote 11237145,,,,,,295.15,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
ASK TOMMUR — NJPD buys this; not on Tommur quote,MISSING from Tommur list,,PPRC1034,PPRC1034,"1""x3/4"" POLY-ALLOY PEX REDUCING COUPLING","1""x3/4"" POLY-ALLOY PEX REDUCING COUPLING","1x3/4""",PEX,,pc,600,,,,,,,,,,Need Tommur price,,0.7138,NJPD/Gator quote 11237145,,,,,,428.28,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
ASK TOMMUR — NJPD buys this; not on Tommur quote,MISSING from Tommur list,,PPRT1033,PPRT1033,"1""x3/4""x3/4"" POLY-ALLOY PEX REDUCING TEE","1""x3/4""x3/4"" POLY-ALLOY PEX REDUCING TEE","1x3/4x3/4""",PEX,,pc,300,,,,,,,,,,Need Tommur price,,1.6745,NJPD/Gator quote 11237145,,,,,,502.35,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
ASK TOMMUR — NJPD buys this; not on Tommur quote,MISSING from Tommur list,,PPRT1112,PPRT1112,"1""x1""x1/2"" POLY-ALLOY PEX REDUCING TEE","1""x1""x1/2"" POLY-ALLOY PEX REDUCING TEE","1x1x1/2""",PEX,,pc,300,,,,,,,,,,Need Tommur price,,1.3929,NJPD/Gator quote 11237145,,,,,,417.87,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
ASK TOMMUR — NJPD buys this; not on Tommur quote,MISSING from Tommur list,,PPRT1213,PPRT1213,"1/2""x1/2""x3/4"" POLY-ALLOY PEX REDUCING TEE","1/2""x1/2""x3/4"" POLY-ALLOY PEX REDUCING TEE","1/2x1/2x3/4""",PEX,,pc,300,,,,,,,,,,Need Tommur price,,0.6445,NJPD/Gator quote 11237145,,,,,,193.35,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
ASK TOMMUR — NJPD buys this; not on Tommur quote,MISSING from Tommur list,,PPRT1341,PPRT1341,"1""x3/4""x1"" POLY-ALLOY PEX REDUCING TEE","1""x3/4""x1"" POLY-ALLOY PEX REDUCING TEE","1x3/4x1""",PEX,,pc,200,,,,,,,,,,Need Tommur price,,2.0525,NJPD/Gator quote 11237145,,,,,,410.5,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
ASK TOMMUR — NJPD buys this; not on Tommur quote,MISSING from Tommur list,,PPRT3410,PPRT3410,"3/4""x3/4""x1"" POLY-ALLOY PEX REDUCING TEE","3/4""x3/4""x1"" POLY-ALLOY PEX REDUCING TEE","3/4x3/4x1""",PEX,,pc,150,,,,,,,,,,Need Tommur price,,1.4366,NJPD/Gator quote 11237145,,,,,,215.49,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
ASK TOMMUR — NJPD buys this; not on Tommur quote,MISSING from Tommur list,,PPRT3411,PPRT3411,"3/4""x1/2""x1/2"" POLY-ALLOY PEX REDUCING TEE","3/4""x1/2""x1/2"" POLY-ALLOY PEX REDUCING TEE","3/4x1/2x1/2""",PEX,,pc,900,,,,,,,,,,Need Tommur price,,0.5963,NJPD/Gator quote 11237145,,,,,,536.67,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
ASK TOMMUR — NJPD buys this; not on Tommur quote,MISSING from Tommur list,,PPRT3413,PPRT3413,"3/4""x1/2""x3/4"" POLY-ALLOY PEX REDUCING TEE","3/4""x1/2""x3/4"" POLY-ALLOY PEX REDUCING TEE","3/4x1/2x3/4""",PEX,,pc,750,,,,,,,,,,Need Tommur price,,0.7891,NJPD/Gator quote 11237145,,,,,,591.83,,,Not on Tommur PVC/PEX quote. Confirm F2159 poly-alloy (fittings) or F1807 copper ring.
DROP — NJPD does not buy this size/type,No match on Gator/NJPD PEX list,4B200B (1),PEX-B PIPE,,,PEX-B PIPE,"1-1/2""",PEX,,ft,600,1.05,0.9838,0.4211,0.0853,1.4902,1.0691,1.04,1.58,1.04,DDP cheaper,0.4502,,,,,,624.0,894.12,,,,
DROP — NJPD does not buy this size/type,No match on Gator/NJPD PEX list,4B200B (1),PEX-B PIPE,,,PEX-B PIPE,"1-1/4""",PEX,,ft,900,1.35,0.6179,0.2645,0.0731,0.9555,0.691,0.65,0.99,0.65,DDP cheaper,0.3055,,,,,,585.0,859.95,,,,
DROP — NJPD does not buy this size/type,No match on Gator/NJPD PEX list,4B200B (1),PEX-B PIPE,,,PEX-B PIPE,"2""",PEX,,ft,300,0.135,1.969,0.8427,0.0219,2.8336,1.9909,2.07,3.15,2.07,DDP cheaper,0.7636,,,,,,621.0,850.08,,,,
DROP — NJPD does not buy this size/type,No match on Gator/NJPD PEX list,PEXB,PEX-ELBOW,,,ELBOW,"1-1/2""",PEX,,pc,100,0.15,0.88,0.3766,0.0731,1.3297,0.9531,,4.47,4.47,FOB+landed cheaper,-3.1403,,,,,,447.0,132.97,,,,
DROP — NJPD does not buy this size/type,No match on Gator/NJPD PEX list,PEXB,PEX-ELBOW,,,ELBOW,"1-1/4""",PEX,,pc,200,0.25,1.95,0.8346,0.0609,2.8455,2.0109,,2.82,2.82,DDP cheaper,0.0255,,,,,,564.0,569.1,,,,
DROP — NJPD does not buy this size/type,No match on Gator/NJPD PEX list,PEXB,PEX-ELBOW,,,ELBOW,"2""",PEX,,pc,100,0.06,0.8,0.3424,0.0292,1.1716,0.8292,,8.3,8.3,FOB+landed cheaper,-7.1284,,,,,,830.0,117.16,,,,
DROP — NJPD does not buy this size/type,No match on Gator/NJPD PEX list,PEXB,PEX-FADPTR,,,PEX FEMALE ADAPTER (PEX x FIPT),"1/2""",PEX,,pc,300,0.12,0.54,0.2311,0.0195,0.7906,0.5595,,0.86,0.86,FOB+landed cheaper,-0.0694,,,,,,258.0,237.18,,,,
DROP — NJPD does not buy this size/type,No match on Gator/NJPD PEX list,PEXB,PEX-FADPTR,,,PEX FEMALE ADAPTER (PEX x FIPT),"3/4""",PEX,,pc,300,0.13,0.83,0.3552,0.0211,1.2063,0.8511,,1.33,1.33,FOB+landed cheaper,-0.1237,,,,,,399.0,361.89,,,,
DROP — NJPD does not buy this size/type,No match on Gator/NJPD PEX list,PEXB,PEX-MADPTR,,,PEX MALE ADAPTER (PEX x MIPT),"1/2""",PEX,,pc,500,0.18,0.4454,0.1906,0.0175,0.6535,0.4629,,0.71,0.71,FOB+landed cheaper,-0.0565,,,,,,355.0,326.75,,,,
DROP — NJPD does not buy this size/type,No match on Gator/NJPD PEX list,PEXB,PEX-MADPTR,,,PEX MALE ADAPTER (PEX x MIPT),"3/4""",PEX,,pc,300,0.13,0.7274,0.3113,0.0211,1.0598,0.7485,,1.16,1.16,FOB+landed cheaper,-0.1002,,,,,,348.0,317.94,,,,
DROP — NJPD does not buy this size/type,No match on Gator/NJPD PEX list,PEXB,PEX-REDUCER,,,REDUCER,"1-1/2x3/4""",PEX,,pc,100,0.15,0.68,0.291,0.0731,1.0441,0.7531,,1.09,1.09,FOB+landed cheaper,-0.0459,,,,,,109.0,104.41,,,,
DROP — NJPD does not buy this size/type,No match on Gator/NJPD PEX list,PEXB,PEX-REDUCER,,,REDUCER,"1x1/2""",PEX,,pc,200,0.25,0.4124,0.1765,0.0609,0.6498,0.4733,,0.66,0.66,FOB+landed cheaper,-0.0102,,,,,,132.0,129.96,,,,
DROP — NJPD does not buy this size/type,No match on Gator/NJPD PEX list,PEXB,PEX-REDUCER,,,REDUCER,"2x3/4""",PEX,,pc,100,0.175,1.9442,0.8321,0.0853,2.8616,2.0295,,3.11,3.11,FOB+landed cheaper,-0.2484,,,,,,311.0,286.16,,,,
