Code,Material,Description,Size,Unit,On_Website,FOB,Landed,Cheapest_Online,Online_Source,Margin_USD,Margin_Pct,Landed_Basis,Notes
PVC-PIPE-SOLID,PVC,ASTM D1785 SCH40 PVC,"8""",pc,YES,2.84,6.37,24.95,flexpvc.com,18.58,74.5,45HQ,per ft
PVC-PTRAP,PVC,P-TRAP (H X H),"2""",pc,YES,0.94,1.55,7.53,homedepot.com,5.98,79.4,45HQ,
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H X H),"10x6""",ft,YES,8.95,13.97,,,,,45HQ,
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H X H),"10x8""",ft,YES,8.95,14.24,,,,,45HQ,
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H X H),"2x1-1/2""",ft,YES,0.15,0.24,2.01,supplyhouse.com,1.77,88.1,45HQ,box
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H X H),"3x2""",ft,YES,0.43,0.68,7.36,homedepot.com,6.68,90.8,45HQ,
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H X H),"4x2""",ft,YES,0.75,1.22,18.15,pvcfittingsonline.com,16.93,93.3,45HQ,
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H X H),"4x3""",ft,YES,0.84,1.33,19.34,pvcfittingsonline.com,18.01,93.1,45HQ,
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H X H),"6x3""",ft,YES,3.02,4.67,,,,,45HQ,
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H X H),"6x4""",ft,YES,1.95,3.24,71.38,pvcfittingsonline.com,68.14,95.5,45HQ,
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H X H),"8x6""",ft,YES,4.12,6.54,95.86,pvcfittingsonline.com,89.32,93.2,45HQ,
PVC-SANTEERED,PVC,REDUCING SANITARY TEE (ALL HUB),"2x1-1/2""",pc,YES,0.42,0.68,3.68,homedepot.com,3.0,81.5,45HQ,2x2x1-1/2
PVC-SANTEERED,PVC,REDUCING SANITARY TEE (ALL HUB),"3x2""",pc,YES,1.05,1.7,13.86,pvcfittingsonline.com,12.16,87.7,45HQ,3x3x2 SCH40
PVC-SANTEERED,PVC,REDUCING SANITARY TEE (ALL HUB),"3x3x2""",pc,YES,1.03,1.67,13.86,pvcfittingsonline.com,12.19,88.0,45HQ,
PVC-SANTEERED,PVC,REDUCING SANITARY TEE (ALL HUB),"4x4x2""",pc,YES,1.4,2.3,25.47,homedepot.com,23.17,91.0,45HQ,
PVC-SANTEERED,PVC,REDUCING SANITARY TEE (ALL HUB),"4x4x3""",pc,YES,2.05,3.38,41.08,pvcfittingsonline.com,37.7,91.8,45HQ,
,PVC,REDUCING WYE (ALL HUB),"10x10x4""",pc,NO,0.0,4.16,,,,,45HQ,FOB is $0 in tracker — excluded until real FOB entered
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"3x3x2""",pc,YES,1.29,2.1,10.25,homedepot.com,8.15,79.5,45HQ,
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"4x4x2""",pc,YES,1.9,3.16,19.37,homedepot.com,16.21,83.7,45HQ,
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"4x4x3""",pc,YES,2.59,4.33,16.88,homedepot.com,12.55,74.3,45HQ,
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"6x6x2""",pc,YES,4.56,7.77,114.2,pvcfittingsonline.com,106.43,93.2,45HQ,
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"6x6x3""",pc,YES,4.81,8.38,126.72,pvcfittingsonline.com,118.34,93.4,45HQ,
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"6x6x4""",pc,YES,5.35,9.39,95.91,pvcfittingsonline.com,86.52,90.2,45HQ,
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"8x8x4""",pc,YES,8.99,16.07,236.03,pvcfittingsonline.com,219.96,93.2,45HQ,
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"8x8x6""",pc,YES,11.69,21.19,288.44,flexpvc.com,267.25,92.7,45HQ,
PVC-SANTEE,PVC,SANITARY TEE (ALL HUB),"1-1/2""",pc,YES,0.31,0.5,2.93,supplyhouse.com,2.43,82.9,45HQ,box
PVC-SANTEE,PVC,SANITARY TEE (ALL HUB),"2""",pc,YES,0.48,0.82,4.28,homedepot.com,3.46,80.8,45HQ,each
PVC-SANTEE,PVC,SANITARY TEE (ALL HUB),"3""",pc,YES,1.51,2.45,10.86,homedepot.com,8.41,77.4,45HQ,each
PVC-SANTEE,PVC,SANITARY TEE (ALL HUB),"4""",pc,YES,2.65,4.53,18.19,homedepot.com,13.66,75.1,45HQ,each
PVC-WYEHUB,PVC,WYE (ALL HUB),"2""",pc,YES,0.6,0.97,6.57,homedepot.com,5.6,85.2,45HQ,
PVC-WYEHUB,PVC,WYE (ALL HUB),"3""",pc,YES,1.8,2.99,13.46,supplyhouse.com,10.47,77.8,45HQ,box
PVC-WYEHUB,PVC,WYE (ALL HUB),"4""",pc,YES,3.27,5.47,25.15,homedepot.com,19.68,78.3,45HQ,
PVC-WYEHUB,PVC,WYE (ALL HUB),"6""",pc,YES,7.57,13.96,47.7,homedepot.com,33.74,70.7,45HQ,
