line,family,code,desc,size,spec,unit,status,catalog,mill_note
114,PVC DWV fittings,PVC-1/8HH,1/8 BEND (H x H),"1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 45° elbow,White DWV. Leave FOB blank if you do not mold this pattern/size.
115,PVC DWV fittings,PVC-1/8HH,1/8 BEND (H x H),"2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 45° elbow,White DWV. Leave FOB blank if you do not mold this pattern/size.
116,PVC DWV fittings,PVC-1/8HH,1/8 BEND (H x H),"3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 45° elbow,White DWV. Leave FOB blank if you do not mold this pattern/size.
117,PVC DWV fittings,PVC-1/8HH,1/8 BEND (H x H),"4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 45° elbow,White DWV. Leave FOB blank if you do not mold this pattern/size.
118,PVC DWV fittings,PVC-1/8HH,1/8 BEND (H × H),"6""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
119,PVC DWV fittings,PVC-1/8HH,1/8 BEND (H × H),"8""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
120,PVC DWV fittings,PVC-1/8HS,1/8 BEND STREET (H x S),"1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
121,PVC DWV fittings,PVC-1/8HS,1/8 BEND STREET (H x S),"2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
122,PVC DWV fittings,PVC-1/8HS,1/8 BEND STREET (H x S),"3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
123,PVC DWV fittings,PVC-1/8HS,1/8 BEND STREET (H x S),"4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
124,PVC DWV fittings,PVC-45ELLSOC,45° ELL (SOC × SOC),"10""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
125,PVC DWV fittings,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"2"" x 1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 reducing bushing,White DWV. Leave FOB blank if you do not mold this pattern/size.
126,PVC DWV fittings,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"3"" x 2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 reducing bushing,White DWV. Leave FOB blank if you do not mold this pattern/size.
127,PVC DWV fittings,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"4"" x 3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 reducing bushing,White DWV. Leave FOB blank if you do not mold this pattern/size.
128,PVC DWV fittings,PVC-CAPSOC,CAP (SOC),"1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.39–40 cap,White DWV. Leave FOB blank if you do not mold this pattern/size.
129,PVC DWV fittings,PVC-CAPSOC,CAP (SOC),"2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.39–40 cap,White DWV. Leave FOB blank if you do not mold this pattern/size.
130,PVC DWV fittings,PVC-CAPSOC,CAP (SOC),"3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.39–40 cap,White DWV. Leave FOB blank if you do not mold this pattern/size.
131,PVC DWV fittings,PVC-CAPSOC,CAP (SOC),"4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.39–40 cap,White DWV. Leave FOB blank if you do not mold this pattern/size.
132,PVC DWV fittings,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 test tee w/ CO plug,White DWV. Leave FOB blank if you do not mold this pattern/size.
133,PVC DWV fittings,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 test tee w/ CO plug,White DWV. Leave FOB blank if you do not mold this pattern/size.
134,PVC DWV fittings,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 test tee w/ CO plug,White DWV. Leave FOB blank if you do not mold this pattern/size.
135,PVC DWV fittings,PVC-CLSTFLNGH,CLOSET FLANGE W/TEST PLATE (H),"4"" x 3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
136,PVC DWV fittings,PVC-CPLNG,COUPLING (H x H),"1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 coupling,White DWV. Leave FOB blank if you do not mold this pattern/size.
137,PVC DWV fittings,PVC-CPLNG,COUPLING (H x H),"2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 coupling,White DWV. Leave FOB blank if you do not mold this pattern/size.
138,PVC DWV fittings,PVC-CPLNG,COUPLING (H x H),"3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 coupling,White DWV. Leave FOB blank if you do not mold this pattern/size.
139,PVC DWV fittings,PVC-CPLNG,COUPLING (H x H),"4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 coupling,White DWV. Leave FOB blank if you do not mold this pattern/size.
140,PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H × H),"10"" x 6""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
141,PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H × H),"10"" x 8""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
142,PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"2"" x 1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
143,PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"3"" x 2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
144,PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H × H),"4"" x 2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
145,PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"4"" x 3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
146,PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H × H),"6"" x 3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
147,PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H × H),"6"" x 4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
148,PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H × H),"8"" x 6""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
149,PVC DWV fittings,PVC-MADPTR,MALE ADAPTER (MPT x H),"1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.39 male adapter,White DWV. Leave FOB blank if you do not mold this pattern/size.
150,PVC DWV fittings,PVC-MADPTR,MALE ADAPTER (MPT x H),"2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.39 male adapter,White DWV. Leave FOB blank if you do not mold this pattern/size.
151,PVC DWV fittings,PVC-PTRAP,P-TRAP (H x H),"1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.42 P-trap,White DWV. Leave FOB blank if you do not mold this pattern/size.
152,PVC DWV fittings,PVC-PTRAP,P-TRAP (H x H),"2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.42 P-trap,White DWV. Leave FOB blank if you do not mold this pattern/size.
153,PVC DWV fittings,PVC-PTRAP,P-TRAP (H x H),"3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.42 P-trap,White DWV. Leave FOB blank if you do not mold this pattern/size.
154,PVC DWV fittings,PVC-PTRAP,P-TRAP (H x H),"4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
155,PVC DWV fittings,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
156,PVC DWV fittings,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
157,PVC DWV fittings,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
158,PVC DWV fittings,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
159,PVC DWV fittings,PVC-SANTEE,SANITARY TEE (ALL HUB),"1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 tee,White DWV. Leave FOB blank if you do not mold this pattern/size.
160,PVC DWV fittings,PVC-SANTEE,SANITARY TEE (ALL HUB),"2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 tee,White DWV. Leave FOB blank if you do not mold this pattern/size.
161,PVC DWV fittings,PVC-SANTEE,SANITARY TEE (ALL HUB),"3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 tee,White DWV. Leave FOB blank if you do not mold this pattern/size.
162,PVC DWV fittings,PVC-SANTEE,SANITARY TEE (ALL HUB),"4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 tee,White DWV. Leave FOB blank if you do not mold this pattern/size.
163,PVC DWV fittings,PVC-SANTEEDBL,"DOUBLE SANITARY TEE, REDUCING (ALL HUB)","2"" x 2"" x 1-1/2"" x 1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
164,PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2"" x 1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
165,PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2"" x 1-1/2"" x 1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
166,PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2"" x 1-1/2"" x 2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
167,PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2"" x 2"" x 1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
168,PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"3"" x 2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 reducing tee,White DWV. Leave FOB blank if you do not mold this pattern/size.
169,PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"3"" x 3"" x 2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 reducing tee,White DWV. Leave FOB blank if you do not mold this pattern/size.
170,PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"4"" x 4"" x 2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
171,PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"4"" x 4"" x 3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
172,PVC DWV fittings,PVC-WYEDBL,REDUCING DOUBLE WYE (ALL HUB),"3"" x 3"" x 2"" x 2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.42 double wye (confirm reducing),White DWV. Leave FOB blank if you do not mold this pattern/size.
173,PVC DWV fittings,PVC-WYEHUB,WYE (ALL HUB),"1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 Y tee,White DWV. Leave FOB blank if you do not mold this pattern/size.
174,PVC DWV fittings,PVC-WYEHUB,WYE (ALL HUB),"2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 Y tee,White DWV. Leave FOB blank if you do not mold this pattern/size.
175,PVC DWV fittings,PVC-WYEHUB,WYE (ALL HUB),"3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 Y tee,White DWV. Leave FOB blank if you do not mold this pattern/size.
176,PVC DWV fittings,PVC-WYEHUB,WYE (ALL HUB),"4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 Y tee,White DWV. Leave FOB blank if you do not mold this pattern/size.
177,PVC DWV fittings,PVC-WYEHUB,WYE (ALL HUB),"6""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
178,PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"3"" x 3"" x 2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
179,PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"4"" x 4"" x 2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
180,PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"4"" x 4"" x 3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
181,PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"6"" x 6"" x 2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
182,PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"6"" x 6"" x 3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
183,PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"6"" x 6"" x 4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
184,PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"8"" x 8"" x 4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
185,PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"8"" x 8"" x 6""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
186,CPVC SDR-11 (if manufactured),CPVC-PIPE-SDR11,"CPVC ASTM D2846 SDR-11 pipe, 10 ft or 20 ft","1/2""","ASTM D2846 SDR-11 CTS, NSF-pw / UPC",ft,On site,Not in 2026 NA catalog — quote only if you extrude D2846 CTS,Do not quote Sch 80 CPVC or IPS F441. SDR-11 CTS only. Cream / yellow stripe is the US look.
187,CPVC SDR-11 (if manufactured),CPVC-PIPE-SDR11,"CPVC ASTM D2846 SDR-11 pipe, 10 ft or 20 ft","3/4""","ASTM D2846 SDR-11 CTS, NSF-pw / UPC",ft,On site,Not in 2026 NA catalog — quote only if you extrude D2846 CTS,Do not quote Sch 80 CPVC or IPS F441. SDR-11 CTS only. Cream / yellow stripe is the US look.
188,CPVC SDR-11 (if manufactured),CPVC-PIPE-SDR11,"CPVC ASTM D2846 SDR-11 pipe, 10 ft or 20 ft","1""","ASTM D2846 SDR-11 CTS, NSF-pw / UPC",ft,On site,Not in 2026 NA catalog — quote only if you extrude D2846 CTS,Do not quote Sch 80 CPVC or IPS F441. SDR-11 CTS only. Cream / yellow stripe is the US look.
189,CPVC SDR-11 (if manufactured),CPVC-PIPE-SDR11,"CPVC ASTM D2846 SDR-11 pipe, 10 ft or 20 ft","1-1/4""","ASTM D2846 SDR-11 CTS, NSF-pw / UPC",ft,On site,Not in 2026 NA catalog — quote only if you extrude D2846 CTS,Do not quote Sch 80 CPVC or IPS F441. SDR-11 CTS only. Cream / yellow stripe is the US look.
190,CPVC SDR-11 (if manufactured),CPVC-PIPE-SDR11,"CPVC ASTM D2846 SDR-11 pipe, 10 ft or 20 ft","1-1/2""","ASTM D2846 SDR-11 CTS, NSF-pw / UPC",ft,On site,Not in 2026 NA catalog — quote only if you extrude D2846 CTS,Do not quote Sch 80 CPVC or IPS F441. SDR-11 CTS only. Cream / yellow stripe is the US look.
191,CPVC SDR-11 (if manufactured),CPVC-PIPE-SDR11,"CPVC ASTM D2846 SDR-11 pipe, 10 ft or 20 ft","2""","ASTM D2846 SDR-11 CTS, NSF-pw / UPC",ft,On site,Not in 2026 NA catalog — quote only if you extrude D2846 CTS,Do not quote Sch 80 CPVC or IPS F441. SDR-11 CTS only. Cream / yellow stripe is the US look.
192,CPVC D2846 fittings (if manufactured),CPVC-ELBOW,90 elbow CTS D2846 (socket),"1/2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
193,CPVC D2846 fittings (if manufactured),CPVC-CPLNG,Coupling CTS D2846 (socket),"1/2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
194,CPVC D2846 fittings (if manufactured),CPVC-TEE,Tee CTS D2846 (socket),"1/2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
195,CPVC D2846 fittings (if manufactured),CPVC-MADPTR,Male adapter CTS D2846 (MPT x socket),"1/2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
196,CPVC D2846 fittings (if manufactured),CPVC-FADPTR,Female adapter CTS D2846 (FPT x socket),"1/2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
197,CPVC D2846 fittings (if manufactured),CPVC-UNION,Union CTS D2846,"1/2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
198,CPVC D2846 fittings (if manufactured),CPVC-ELBOW,90 elbow CTS D2846 (socket),"3/4""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
199,CPVC D2846 fittings (if manufactured),CPVC-CPLNG,Coupling CTS D2846 (socket),"3/4""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
200,CPVC D2846 fittings (if manufactured),CPVC-TEE,Tee CTS D2846 (socket),"3/4""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
201,CPVC D2846 fittings (if manufactured),CPVC-MADPTR,Male adapter CTS D2846 (MPT x socket),"3/4""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
202,CPVC D2846 fittings (if manufactured),CPVC-FADPTR,Female adapter CTS D2846 (FPT x socket),"3/4""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
203,CPVC D2846 fittings (if manufactured),CPVC-UNION,Union CTS D2846,"3/4""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
204,CPVC D2846 fittings (if manufactured),CPVC-ELBOW,90 elbow CTS D2846 (socket),"1""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
205,CPVC D2846 fittings (if manufactured),CPVC-CPLNG,Coupling CTS D2846 (socket),"1""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
206,CPVC D2846 fittings (if manufactured),CPVC-TEE,Tee CTS D2846 (socket),"1""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
207,CPVC D2846 fittings (if manufactured),CPVC-MADPTR,Male adapter CTS D2846 (MPT x socket),"1""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
208,CPVC D2846 fittings (if manufactured),CPVC-FADPTR,Female adapter CTS D2846 (FPT x socket),"1""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
209,CPVC D2846 fittings (if manufactured),CPVC-UNION,Union CTS D2846,"1""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
210,CPVC D2846 fittings (if manufactured),CPVC-ELBOW,90 elbow CTS D2846 (socket),"1-1/4""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
211,CPVC D2846 fittings (if manufactured),CPVC-CPLNG,Coupling CTS D2846 (socket),"1-1/4""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
212,CPVC D2846 fittings (if manufactured),CPVC-TEE,Tee CTS D2846 (socket),"1-1/4""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
