family,code,desc,size,unit,fob8,fob10,fob_delta_pct,moq,pack,cbm,gw,lead,nsf,units_carton,ocean_unit,landed,our_fob,our_src,tommur_ddp,zhenpeng,site,verdict
PVC DWV fittings,PVC-45ELLSOC,45° ELL (SOC × SOC),"10""",pc,,,,,,,,,NSF UPC CSA,,,,,,,,68.59,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"2"" x 1-1/2""",pc,0.144161545215101,,,3000,300,0.1,,,NSF UPC CSA,300.0,0.0492,,,,0.1215,,0.85,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"3"" x 2""",pc,0.534328358208955,,,1300,130,0.1,,,NSF UPC CSA,130.0,0.1136,,,,0.459,,1.15,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"4"" x 3""",pc,1.00438981562774,,,980,98,0.1,,,NSF UPC CSA,98.0,0.1507,,,,0.6188,,2.01,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-CAPSOC,CAP (SOC),"1-1/2""",pc,0.177699736611062,,,1680,168,0.1,,,NSF UPC CSA,168.0,0.0879,,,,0.0906,,0.65,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-CAPSOC,CAP (SOC),"2""",pc,0.274100087796313,,,1250,125,0.1,,,NSF UPC CSA,125.0,0.1182,,,,0.1294,,1.48,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-CAPSOC,CAP (SOC),"3""",pc,0.8071992976295,,,720,72,0.1,,,NSF UPC CSA,72.0,0.2052,,,,0.4286,,5.42,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-CAPSOC,CAP (SOC),"4""",pc,1.27164179104478,,,600,60,0.1,,,NSF UPC CSA,60.0,0.2462,,,,0.7538,,10.5,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"2""",pc,0.653204565408253,,,560,56,0.1,,,NSF UPC CSA,56.0,0.2638,,,,0.5625,,2.87,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"3""",pc,1.83107989464443,,,360,36,0.1,,,NSF UPC CSA,36.0,0.4103,,,,1.5638,,5.25,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"4""",pc,3.86777875329236,,,200,20,0.1,,,NSF UPC CSA,20.0,0.7386,,,,2.7788,,9.05,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-CLSTFLNGH,CLOSET FLANGE W/TEST PLATE (H),"4"" x 3""",pc,1.13099209833187,,,400,40,0.1,,,NSF UPC CSA,40.0,0.3693,,,,1.314,,2.59,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-CPLNG,COUPLING (H x H),"1-1/2""",pc,0.141352063213345,,,3000,300,0.1,,,NSF UPC CSA,300.0,0.0492,,,,0.1193,,0.25,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-CPLNG,COUPLING (H x H),"2""",pc,0.187532923617208,,,1500,150,0.1,,,NSF UPC CSA,150.0,0.0985,,,,0.1688,,0.34,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-CPLNG,COUPLING (H x H),"3""",pc,0.658823529411765,,,1000,100,0.1,,,NSF UPC CSA,100.0,0.1477,,,,0.5513,,1.15,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-CPLNG,COUPLING (H x H),"4""",pc,1.11483757682177,,,1000,100,0.1,,,NSF UPC CSA,100.0,0.1477,,,,0.945,,2.13,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"2"" x 1-1/2""",pc,,,,,,,,,NSF UPC CSA,,,,0.1486,Tommur FOB,0.171,,1.6,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"3"" x 2""",pc,,,,,,,,,NSF UPC CSA,,,,0.4272,Tommur FOB,0.4916,,1.84,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H × H),"4"" x 2""",pc,,,,,,,,,NSF UPC CSA,,,,0.7527,Tommur FOB,0.7923,,3.01,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"4"" x 3""",pc,,,,,,,,,NSF UPC CSA,,,,0.8407,Tommur FOB,0.9675,,3.85,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H × H),"6"" x 3""",pc,,,,,,,,,NSF UPC CSA,,,,3.021,Tommur FOB,3.18,,12.08,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H × H),"6"" x 4""",pc,,,,,,,,,NSF UPC CSA,,,,1.9453,Tommur FOB,2.0477,,7.78,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-INCREDHH,PIPE INCREASER-REDUCER (H × H),"8"" x 6""",pc,,,,,,,,,NSF UPC CSA,,,,4.1155,Tommur FOB,4.3321,,16.46,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-MADPTR,MALE ADAPTER (MPT x H),"1-1/2""",pc,0.156628621597893,,,7200,720,0.1,,,NSF UPC CSA,720.0,0.0205,,,,0.1001,,0.55,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-MADPTR,MALE ADAPTER (MPT x H),"2""",pc,0.251799824407375,,,3000,300,0.1,,,NSF UPC CSA,300.0,0.0492,,,,0.1328,,0.65,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-PTRAP,P-TRAP (H x H),"1-1/2""",pc,,,,,,,,,NSF UPC CSA,,,,,,0.6188,,3.89,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-PTRAP,P-TRAP (H x H),"2""",pc,1.2270412642669,,,300,30,0.1,,,NSF UPC CSA,30.0,0.4924,,0.9434,Tommur FOB,1.0913,,2.35,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-PTRAP,P-TRAP (H x H),"3""",pc,,,,,,,,,NSF UPC CSA,,,,,,2.9138,,15.05,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-PTRAP,P-TRAP (H x H),"4""",pc,,,,,,,,,NSF UPC CSA,,,,,,5.1863,,26.75,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","1-1/2""",pc,,,,,,,,,NSF UPC CSA,,,,,,0.6075,,1.22,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","2""",pc,,,,,,,,,NSF UPC CSA,,,,,,1.0238,,5.25,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","3""",pc,,,,,,,,,NSF UPC CSA,,,,,,2.9813,,16.25,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","4""",pc,,,,,,,,,NSF UPC CSA,,,,,,5.2763,,38.0,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-SANTEE,SANITARY TEE (ALL HUB),"1-1/2""",pc,0.415452151009658,,,1350,135,0.1,,,NSF UPC CSA,135.0,0.1094,,0.3059,Tommur FOB,0.3623,,0.91,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-SANTEE,SANITARY TEE (ALL HUB),"2""",pc,0.671466198419666,,,560,56,0.1,,,NSF UPC CSA,56.0,0.2638,,0.4845,Tommur FOB,0.5737,,1.32,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-SANTEE,SANITARY TEE (ALL HUB),"3""",pc,2.03810359964881,,,320,32,0.1,,,NSF UPC CSA,32.0,0.4616,,1.5054,Tommur FOB,1.7325,,6.99,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-SANTEE,SANITARY TEE (ALL HUB),"4""",pc,3.5153643546971,,,200,20,0.1,,,NSF UPC CSA,20.0,0.7386,,2.6505,Tommur FOB,3.1387,,14.75,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-SANTEEDBL,"DOUBLE SANITARY TEE, REDUCING (ALL HUB)","2"" x 2"" x 1-1/2"" x 1-1/2""",pc,,,,,,,,,NSF UPC CSA,,,,,,0.5625,,4.25,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2"" x 1-1/2""",pc,0.690956979806848,,,480,48,0.1,,,NSF UPC CSA,48.0,0.3077,,0.419,Tommur FOB,,,1.68,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2"" x 1-1/2"" x 1-1/2""",pc,,,,,,,,,NSF UPC CSA,,,,,,0.4511,,1.15,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2"" x 1-1/2"" x 2""",pc,,,,,,,,,NSF UPC CSA,,,,,,0.5153,,1.53,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2"" x 2"" x 1-1/2""",pc,,,,,,,,,NSF UPC CSA,,,,,,0.4714,,1.16,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"3"" x 2""",pc,,,,,,,,,NSF UPC CSA,,,,1.05,Tommur FOB,,,4.2,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"3"" x 3"" x 2""",pc,,,,,,,,,NSF UPC CSA,,,,1.0264,Tommur FOB,1.1812,,5.75,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"4"" x 4"" x 2""",pc,2.60474100087796,,,240,24,0.1,,,NSF UPC CSA,24.0,0.6155,,1.3979,Tommur FOB,1.4715,,5.59,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"4"" x 4"" x 3""",pc,3.48323090430202,,,180,18,0.1,,,NSF UPC CSA,18.0,0.8206,,2.0529,Tommur FOB,2.3625,,9.65,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYEDBL,REDUCING DOUBLE WYE (ALL HUB),"3"" x 3"" x 2"" x 2""",pc,,,,,,,,,NSF UPC CSA,,,,,,1.665,,6.55,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYEHUB,WYE (ALL HUB),"1-1/2""",pc,0.549780509218613,,,880,88,0.1,,,NSF UPC CSA,88.0,0.1679,,,,0.4545,,1.72,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYEHUB,WYE (ALL HUB),"2""",pc,0.832309043020193,,,500,50,0.1,,,NSF UPC CSA,50.0,0.2954,,0.5963,Tommur FOB,0.6863,,3.6,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYEHUB,WYE (ALL HUB),"3""",pc,2.46338893766462,,,240,24,0.1,,,NSF UPC CSA,24.0,0.6155,,1.7987,Tommur FOB,2.07,,7.19,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYEHUB,WYE (ALL HUB),"4""",pc,4.42598770851624,,,200,20,0.1,,,NSF UPC CSA,20.0,0.7386,,3.2748,Tommur FOB,3.7687,,13.1,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYEHUB,WYE (ALL HUB),"6""",pc,,,,,,,,,NSF UPC CSA,,,,7.5662,Tommur FOB,7.9645,,30.26,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"3"" x 3"" x 2""",pc,,,,,,0.1,,,NSF UPC CSA,,,,1.2904,Tommur FOB,1.485,,7.05,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"4"" x 4"" x 2""",pc,2.60474100087796,,,240,24,0.1,,,NSF UPC CSA,24.0,0.6155,,1.8964,Tommur FOB,2.1825,,5.3,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"4"" x 4"" x 3""",pc,3.48323090430202,,,180,18,0.1,,,NSF UPC CSA,18.0,0.8206,,2.5905,Tommur FOB,2.9813,,6.71,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"6"" x 6"" x 2""",pc,,,,,,,,,NSF UPC CSA,,,,4.5554,Tommur FOB,4.7951,,18.22,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"6"" x 6"" x 3""",pc,,,,,,,,,NSF UPC CSA,,,,4.8095,Tommur FOB,5.0627,,19.24,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"6"" x 6"" x 4""",pc,,,,,,,,,NSF UPC CSA,,,,5.3472,Tommur FOB,5.6286,,21.39,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"8"" x 8"" x 4""",pc,,,,,,,,,NSF UPC CSA,,,,8.9935,Tommur FOB,9.4668,,35.97,Omitted from 10 Sep sheet — still not quoted
PVC DWV fittings,PVC-WYERED,REDUCING WYE (ALL HUB),"8"" x 8"" x 6""",pc,,,,,,,,,NSF UPC CSA,,,,11.6915,Tommur FOB,12.3068,,46.77,Omitted from 10 Sep sheet — still not quoted
